canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Лента,Торговый комплекс «Лента»,"Санкт-Петербург, Дальневосточный проспект",59.9082163,30.4479065,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9219132858,osm_pbf,True,found,"Санкт-Петербург, Дальневосточный проспект","Торговый комплекс «Лента», Дальневосточный проспект, Клочки, Невский округ, Санкт-Петербург, Северо-Западный федеральный округ, 193313, Россия",Санкт-Петербург,,Клочки,Дальневосточный проспект,,193313,node,1734565693,
Лента,Торговый комплекс «Лента»,"Санкт-Петербург, Дальневосточный проспект",59.9081239,30.4482922,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9219132859,osm_pbf,True,found,"Санкт-Петербург, Дальневосточный проспект","Торговый комплекс «Лента», Дальневосточный проспект, Клочки, Невский округ, Санкт-Петербург, Северо-Западный федеральный округ, 193313, Россия",Санкт-Петербург,,Клочки,Дальневосточный проспект,,193313,node,1734565692,
Лента,торговый комплекс «Лента»,"Санкт-Петербург, улица Савушкина",59.9857803,30.2256243,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9230651360,osm_pbf,True,found,"Санкт-Петербург, улица Савушкина","торговый комплекс «Лента», улица Савушкина, Северо-Приморская часть, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197374, Россия",Санкт-Петербург,округ № 65,Северо-Приморская часть,улица Савушкина,,197374,node,1727753150,
ОКЕЙ,Гипермаркет «О'кей»,"Гатчина, Ленинградское шоссе",59.5833167,30.1394592,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9510726585,osm_pbf,True,found,"Гатчина, Ленинградское шоссе","Ленинградское шоссе, Въезд, Гатчина, Гатчинский муниципальный округ, Ленинградская область, Северо-Западный федеральный округ, 188309, Россия",Гатчина,Гатчинский муниципальный округ,Въезд,Ленинградское шоссе,,188309,way,262648965,
Лента,ТК «Лента»,"Шушары, Московское шоссе",59.797788,30.4060922,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9714367856,osm_pbf,True,found,"Шушары, Московское шоссе","ТК «Лента», Московское шоссе, Шушары, Санкт-Петербург, Северо-Западный федеральный округ, 196626, Россия",Шушары,,,Московское шоссе,,196626,node,9714367856,
Лента,,"Санкт-Петербург, Лиговский проспект, 283 литА",59.8979638,30.3344617,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9724294685,osm_pbf,True,found,"Санкт-Петербург, Лиговский проспект, 283 литА","283 литА, Лиговский проспект, Ближняя Рогатка, округ Московская застава, Санкт-Петербург, Северо-Западный федеральный округ, 196084, Россия",Санкт-Петербург,,Ближняя Рогатка,Лиговский проспект,283 литА,196084,node,9724294685,
Лента,Кудрово- ТК Лента,"Кудрово, проспект Строителей",59.9167441,30.51984,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,9792628496,osm_pbf,True,found,"Кудрово, проспект Строителей","Кудрово- ТК Лента, проспект Строителей, Северное Кудрово, Кудрово, Заневское городское поселение, Всеволожский район, Ленинградская область, Северо-Западный федеральный округ, 188689, Россия",Кудрово,Всеволожский район,Северное Кудрово,проспект Строителей,,188689,node,9792628496,
ОКЕЙ,Ленинградское шоссе/Гипермаркет «О'кей»,"Гатчина, Ленинградское шоссе, 12А с1",59.5831722,30.1415094,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,10140053669,osm_pbf,True,found,"Гатчина, Ленинградское шоссе, 12А с1","12А с1, Ленинградское шоссе, Въезд, Гатчина, Гатчинский муниципальный округ, Ленинградская область, Северо-Западный федеральный округ, 188300, Россия",Гатчина,Гатчинский муниципальный округ,Въезд,Ленинградское шоссе,12А с1,188300,way,1204519039,
ОКЕЙ,Ленинградское шоссе/Гипермаркет «О'кей»,"Гатчина, Ленинградское шоссе, 12А",59.584,30.1423826,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,10140053713,osm_pbf,True,found,"Гатчина, Ленинградское шоссе, 12А","Alles, 12А, Ленинградское шоссе, Въезд, Гатчина, Гатчинский муниципальный округ, Ленинградская область, Северо-Западный федеральный округ, 188309, Россия",Гатчина,Гатчинский муниципальный округ,Въезд,Ленинградское шоссе,12А,188309,way,888239367,
Пятёрочка,,"Васкелово, 41К-315",60.3723503,30.3688669,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,10188934404,osm_pbf,True,found,"Васкелово, 41К-315","41К-315, Васкелово, Куйвозовское сельское поселение, Всеволожский район, Ленинградская область, Северо-Западный федеральный округ, 188695, Россия",Васкелово,Всеволожский район,,41К-315,,188695,node,10188934404,
