canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Лента,Торговый комплекс «Лента»,"Санкт-Петербург, Стартовая улица",59.810193,30.3183762,0.0,SHOP_TAG_MISSING;DUPLICATE_CANDIDATE;REVERSE_GEOCODED,node,621455195,osm_pbf,True,found,"Санкт-Петербург, Стартовая улица","Торговый комплекс «Лента», Стартовая улица, Авиагородок, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196246, Россия",Санкт-Петербург,округ Пулковский меридиан,Авиагородок,Стартовая улица,,196246,node,621455195,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Варшавская улица, 25 к2",59.8644392,30.313389,0.5,REVERSE_GEOCODED,node,633582445,osm_pbf,False,found,"Санкт-Петербург, Варшавская улица, 25 к2","Пятёрочка, 25 к2, Варшавская улица, Предпортовая, округ Новоизмайловское, Санкт-Петербург, Северо-Западный федеральный округ, 196191, Россия",Санкт-Петербург,округ Новоизмайловское,Предпортовая,Варшавская улица,25 к2,196191,node,633582445,
ВкусВилл,ВкусВилл,"Санкт-Петербург, Большой проспект П.С., 71",59.9645353,30.3103533,0.5,REVERSE_GEOCODED,node,639563442,osm_pbf,False,found,"Санкт-Петербург, Большой проспект П.С., 71","ВкусВилл, 71, Большой проспект П.С., Петроградская сторона, округ Кронверкское, Санкт-Петербург, Северо-Западный федеральный округ, 197136, Россия",Санкт-Петербург,округ Кронверкское,Петроградская сторона,Большой проспект П.С.,71,197136,node,639563442,
Пятёрочка,Пятёрочка,"Санкт-Петербург, проспект Маршала Жукова, 35 к3",59.8562287,30.2234066,0.5,REVERSE_GEOCODED,node,640444992,osm_pbf,False,found,"Санкт-Петербург, проспект Маршала Жукова, 35 к3","Пятёрочка, 35 к3, проспект Маршала Жукова, Юго-Запад, округ Юго-Запад, Санкт-Петербург, Северо-Западный федеральный округ, 198262, Россия",Санкт-Петербург,,Юго-Запад,проспект Маршала Жукова,35 к3,198262,node,640444992,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Варшавская улица, 23 к4",59.8687791,30.31305,0.5,REVERSE_GEOCODED,node,642164934,osm_pbf,False,found,"Санкт-Петербург, Варшавская улица, 23 к4","Пятёрочка, 23 к4, Варшавская улица, округ Новоизмайловское, Санкт-Петербург, Северо-Западный федеральный округ, 198128, Россия",Санкт-Петербург,округ Новоизмайловское,,Варшавская улица,23 к4,198128,node,642164934,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Будапештская улица, 49",59.8527835,30.3821077,0.5,REVERSE_GEOCODED,node,643815000,osm_pbf,False,found,"Санкт-Петербург, Будапештская улица, 49","Пятёрочка, 49, Будапештская улица, Купчино, Георгиевский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192286, Россия",Санкт-Петербург,Георгиевский округ,Купчино,Будапештская улица,49,192286,node,643815000,
Пятёрочка,Пятёрочка,"Колпино, Павловская улица, 82",59.7480903,30.5675259,0.5,REVERSE_GEOCODED,node,649569494,osm_pbf,False,found,"Колпино, Павловская улица, 82","Пятёрочка, 82, Павловская улица, Колпино, Санкт-Петербург, Северо-Западный федеральный округ, 196650, Россия",Колпино,,,Павловская улица,82,196650,node,649569494,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Ивановская улица, 6",59.8757977,30.4464687,0.5,REVERSE_GEOCODED,node,651391433,osm_pbf,False,found,"Санкт-Петербург, Ивановская улица, 6","Пятёрочка, 6, Ивановская улица, Щемиловка, Ивановский округ, Санкт-Петербург, Северо-Западный федеральный округ, 182171, Россия",Санкт-Петербург,,Щемиловка,Ивановская улица,6,182171,node,651391433,
Семишагофф,Семишагофф,"Санкт-Петербург, Московское шоссе, 6",59.8397995,30.3291796,0.5,REVERSE_GEOCODED,node,651661478,osm_pbf,False,found,"Санкт-Петербург, Московское шоссе, 6","Семишагофф, 6, Московское шоссе, Средняя Рогатка, округ Звёздное, Санкт-Петербург, Северо-Западный федеральный округ, 196153, Россия",Санкт-Петербург,округ Звёздное,Средняя Рогатка,Московское шоссе,6,196153,node,651661478,
Пятёрочка,Пятёрочка,"Московское шоссе, 8",59.8390122,30.3307833,0.9,,node,651661492,osm_pbf,False,skipped_existing_address,,,,,,,,,,,
Пятёрочка,Пятёрочка,"Санкт-Петербург, 17-я линия В.О., 12 литВ",59.9346832,30.2711543,0.5,REVERSE_GEOCODED,node,652699378,osm_pbf,False,found,"Санкт-Петербург, 17-я линия В.О., 12 литВ","Пятёрочка, 12 литВ, 17-я линия В.О., округ № 7, Санкт-Петербург, Северо-Западный федеральный округ, 199178, Россия",Санкт-Петербург,округ № 7,,17-я линия В.О.,12 литВ,199178,node,652699378,
Азбука вкуса,Азбука Вкуса,"Санкт-Петербург, Лахтинский проспект, 85 литВ",59.9942777,30.1460337,0.5,REVERSE_GEOCODED,node,659228415,osm_pbf,False,found,"Санкт-Петербург, Лахтинский проспект, 85 литВ","Азбука Вкуса, 85 литВ, Лахтинский проспект, Ольгино, округ Лахта-Ольгино, Санкт-Петербург, Северо-Западный федеральный округ, 197229, Россия",Санкт-Петербург,округ Лахта-Ольгино,Ольгино,Лахтинский проспект,85 литВ,197229,node,659228415,
Лента,Лента,"Санкт-Петербург, Пулковское шоссе, 3",59.840657,30.3175466,0.5,REVERSE_GEOCODED,node,659748436,osm_pbf,False,found,"Санкт-Петербург, Пулковское шоссе, 3","Лента, 3, Пулковское шоссе, округ Пулковский меридиан, Санкт-Петербург, Северо-Западный федеральный округ, 196066, Россия",Санкт-Петербург,округ Пулковский меридиан,,Пулковское шоссе,3,196066,node,659748436,
Пятёрочка,Пятёрочка,"Петергоф, Бобыльская дорога, 59",59.8870323,29.8614209,0.5,REVERSE_GEOCODED,node,659977194,osm_pbf,False,found,"Петергоф, Бобыльская дорога, 59","Пятёрочка, 59, Бобыльская дорога, Старый Петергоф, Петергоф, Санкт-Петербург, Северо-Западный федеральный округ, 198504, Россия",Петергоф,,Старый Петергоф,Бобыльская дорога,59,198504,node,659977194,
Пятёрочка,Пятёрочка,"Петергоф, Санкт-Петербургский проспект, 60 литИ",59.8821179,29.8922049,0.5,REVERSE_GEOCODED,node,664696466,osm_pbf,False,found,"Петергоф, Санкт-Петербургский проспект, 60 литИ","60 литИ, Санкт-Петербургский проспект, Петергоф, Санкт-Петербург, Северо-Западный федеральный округ, 198516, Россия",Петергоф,,,Санкт-Петербургский проспект,60 литИ,198516,way,52186599,
Пятёрочка,Пятёрочка,"Санкт-Петербург, проспект Шаумяна, 50",59.9254723,30.4235541,0.5,REVERSE_GEOCODED,node,667582359,osm_pbf,False,found,"Санкт-Петербург, проспект Шаумяна, 50","Пятёрочка, 50, проспект Шаумяна, Яблоновка, округ Малая Охта, Санкт-Петербург, Северо-Западный федеральный округ, 195213, Россия",Санкт-Петербург,округ Малая Охта,Яблоновка,проспект Шаумяна,50,195213,node,667582359,
Пятёрочка,Пятёрочка,"Новочеркасский проспект, 36 к1",59.9265595,30.4152703,0.9,,node,667604475,osm_pbf,False,skipped_existing_address,,,,,,,,,,,
Пятёрочка,Пятёрочка,"Сосновый Бор, Комсомольская улица, 18",59.8903944,29.0925045,0.5,REVERSE_GEOCODED,node,668675180,osm_pbf,False,found,"Сосновый Бор, Комсомольская улица, 18","Пятёрочка, 18, Комсомольская улица, Сосновый Бор, Сосновоборский городской округ, Ленинградская область, Северо-Западный федеральный округ, 188540, Россия",Сосновый Бор,Сосновоборский городской округ,,Комсомольская улица,18,188540,node,668675180,
Пятёрочка,Пятёрочка,"Красное Село, проспект Ленина, 85",59.7292286,30.0835227,0.5,REVERSE_GEOCODED,node,672643749,osm_pbf,False,found,"Красное Село, проспект Ленина, 85","Пятёрочка, 85, проспект Ленина, Красное Село, Санкт-Петербург, Северо-Западный федеральный округ, 198320, Россия",Красное Село,,,проспект Ленина,85,198320,node,672643749,
