canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate
Пятёрочка,Пятёрочка,,59.9113636,30.2894225,0.5,ADDRESS_MISSING,node,1456696175,osm_pbf,False
Лента,торговый комплекс «Лента»,,59.9855844,30.2265365,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1461953472,osm_pbf,True
Пятёрочка,Пятёрочка,,60.1425553,30.2082487,0.5,ADDRESS_MISSING,node,1496489956,osm_pbf,False
Пятёрочка,Пятёрочка,,60.4011283,33.0233261,0.5,ADDRESS_MISSING,node,1507319817,osm_pbf,False
Пятёрочка,Пятёрочка,,59.904992,30.4832148,0.5,ADDRESS_MISSING,node,1510213234,osm_pbf,False
Пятёрочка,Пятёрочка,,59.6737187,30.6979088,0.5,ADDRESS_MISSING,node,1515214929,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8851904,30.4270619,0.5,ADDRESS_MISSING,node,1517360819,osm_pbf,False
Пятёрочка,Пятёрочка,,58.8426999,32.2219858,0.5,ADDRESS_MISSING,node,1529352518,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8741073,30.3046004,0.5,ADDRESS_MISSING,node,1538289211,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9117096,30.2825035,0.5,ADDRESS_MISSING,node,1542528995,osm_pbf,False
ВкусВилл,ВкусВилл,,59.9116236,30.3180296,0.5,ADDRESS_MISSING,node,1554518130,osm_pbf,False
Реалъ,РеалЪ,,59.9068784,30.3188311,0.5,ADDRESS_MISSING,node,1556206442,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8604946,30.3145939,0.5,ADDRESS_MISSING,node,1557195885,osm_pbf,False
ОКЕЙ,супермаркет «О'Кей»,,59.8272416,30.3224152,0.1,ADDRESS_MISSING;SHOP_TAG_MISSING,node,1557354817,osm_pbf,False
ОКЕЙ,супермаркет «О'Кей»,,59.8279718,30.3229703,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1557354819,osm_pbf,True
Пятёрочка,Пятёрочка,,59.8658821,30.4556443,0.5,ADDRESS_MISSING,node,1562182492,osm_pbf,False
ВкусВилл,ВкусВилл,,59.91487,30.3184519,0.5,ADDRESS_MISSING,node,1567307034,osm_pbf,False
ОКЕЙ,О’Кей,,59.8782033,30.3574527,0.5,ADDRESS_MISSING,node,1570231737,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8525045,30.2603398,0.5,ADDRESS_MISSING,node,1579302654,osm_pbf,False
Пятёрочка,Пятёрочка,,59.925525,30.2834147,0.5,ADDRESS_MISSING,node,1579801422,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0634475,30.3076831,0.5,ADDRESS_MISSING,node,1579965694,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0075231,30.2938732,0.5,ADDRESS_MISSING,node,1581489474,osm_pbf,False
ВкусВилл,ВкусВилл,,59.941862,30.2736515,0.5,ADDRESS_MISSING,node,1585571405,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8474909,30.3053795,0.5,ADDRESS_MISSING,node,1586234428,osm_pbf,False
Пятёрочка,Пятёрочка,,59.5599094,31.0205944,0.5,ADDRESS_MISSING,node,1589533568,osm_pbf,False
Пятёрочка,Пятёрочка,,59.5010012,34.6612477,0.5,ADDRESS_MISSING,node,1589698252,osm_pbf,False
Семишагофф,Семишагофф,,59.9399036,30.2669531,0.5,ADDRESS_MISSING,node,1606591417,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8412834,30.1743555,0.5,ADDRESS_MISSING,node,1613403059,osm_pbf,False
Лента,Гипермаркет «Лента»,,59.9355409,30.4955945,0.1,ADDRESS_MISSING;SHOP_TAG_MISSING,node,1633771772,osm_pbf,False
Семишагофф,Семишагофф,,59.9306011,30.6252577,0.5,ADDRESS_MISSING,node,1649273026,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0910318,30.8378781,0.5,ADDRESS_MISSING,node,1656308593,osm_pbf,False
Пятёрочка,Пятёрочка,,60.0262939,30.2245685,0.5,ADDRESS_MISSING,node,1657136408,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8827002,30.9889637,0.5,ADDRESS_MISSING,node,1667784437,osm_pbf,False
Семишагофф,Семишагофф,,60.0179416,30.2437278,0.5,ADDRESS_MISSING,node,1667829459,osm_pbf,False
Лента,торговый комплекс «Лента»,,59.9857078,30.2266313,0.0,ADDRESS_MISSING;SHOP_TAG_MISSING;DUPLICATE_CANDIDATE,node,1669466215,osm_pbf,True
Семишагофф,Семишагофф,,59.8971618,30.2775638,0.5,ADDRESS_MISSING,node,1673200525,osm_pbf,False
ВкусВилл,ВкусВилл,,59.899423,30.2754545,0.5,ADDRESS_MISSING,node,1673276821,osm_pbf,False
Лента,ТК Лента,,59.7996492,30.4019,0.1,ADDRESS_MISSING;SHOP_TAG_MISSING,node,1675720356,osm_pbf,False
Пятёрочка,Пятёрочка,,59.3764748,28.6028633,0.5,ADDRESS_MISSING,node,1703305392,osm_pbf,False
Пятёрочка,Пятёрочка,,59.8709832,30.3113125,0.5,ADDRESS_MISSING,node,1705785124,osm_pbf,False
Пятёрочка,Пятёрочка,,59.9458419,30.4895632,0.5,ADDRESS_MISSING,node,1722236726,osm_pbf,False
Лента,торговый комплекс «Лента»,,59.9858122,30.2256445,0.1,ADDRESS_MISSING;SHOP_TAG_MISSING,node,1727753150,osm_pbf,False
